SA1_Code,SA1_Name,Latitude,Longitude,Total_Population,Females_20-24,Females_25-34,Females_35-44,Females_45-54,Females_55-64,Females_65+,Median_Age,Median_Household_Income_Weekly,Total_Dwellings
7000000,North Cape,-34.47759094,172.8455157,141,3,6,6,15,18,6,50,16200,123
7000001,North Cape,-34.58937382,172.8749759,114,0,6,6,12,6,9,51,24400,78
7000002,Inlets Far North District,-34.54439385,172.8856331,0,0,0,0,0,0,0,0,0,0
7000003,North Cape,-34.63014303,172.9919423,225,18,6,12,15,9,21,47,20000,153
7000004,North Cape,-34.7134295,172.9686961,138,3,9,6,9,12,18,52,21500,108
7000005,North Cape,-34.784861,173.075827,174,0,6,9,12,24,18,55,21600,114
7000006,North Cape,-34.73293433,173.0690664,105,0,6,6,12,12,9,52,32500,111
7000007,North Cape,-34.81423819,173.1077985,240,0,12,12,12,24,36,56,21300,201
7000008,North Cape,-34.82656281,173.109173,228,6,9,9,18,27,30,54,24300,201
7000009,North Cape,-34.84528868,173.1241291,120,0,3,6,9,15,12,56,24000,102
7000010,Inlets Far North District,-34.79566979,173.1212538,0,0,0,0,0,0,0,0,0,6
7000011,North Cape,-34.83733526,173.1421523,120,3,9,6,6,9,9,48,24300,99
7000012,Inlets Far North District,-35.28344353,173.1878808,0,0,0,0,0,0,0,0,0,0
7000013,Inlets Far North District,-35.3390194,173.2656921,0,0,0,0,0,0,0,0,0,0
7000014,Inlets Far North District,-34.9561285,173.2807917,0,0,0,0,0,0,0,0,0,0
7000015,Inlets Far North District,-35.41028042,173.4278182,0,0,0,0,0,0,0,0,0,0
7000016,Inlets Far North District,-34.99205434,173.5462759,0,0,0,0,0,0,0,0,0,0
7000017,Inlets Far North District,-35.06622109,173.7212228,0,0,0,0,0,0,0,0,0,0
7000018,Inlets Far North District,-35.21850133,174.1582494,42,0,0,0,0,0,0,0,21100,138
7000019,Rangaunu Harbour,-34.91768365,173.1539817,243,3,12,15,12,15,18,50,24400,192
7000020,Rangaunu Harbour,-35.00615386,173.1775478,156,3,9,6,15,15,9,50,31000,111
7000021,Rangaunu Harbour,-35.04448909,173.1980318,204,3,3,18,12,18,18,53,27400,138
7000022,Rangaunu Harbour,-34.99550026,173.2112246,186,6,12,12,9,15,18,49,21800,120
7000023,Rangaunu Harbour,-34.91784444,173.2065466,153,0,6,12,15,9,15,52,19300,102
7000024,Rangaunu Harbour,-35.02620565,173.2330675,186,6,9,9,9,12,6,46,22800,117
7000025,Rangaunu Harbour,-35.04048867,173.2548208,108,3,9,3,15,3,9,48,19800,66
7000026,Rangaunu Harbour,-35.04599182,173.2573819,90,6,3,6,3,9,3,45,22200,69
7000027,Rangaunu Harbour,-35.05010079,173.2572874,204,6,15,15,18,9,6,44,26400,114
7000028,Rangaunu Harbour,-35.04661183,173.2367163,162,6,12,9,6,6,12,46,23300,108
7000029,Rangaunu Harbour,-35.01522616,173.2655331,177,3,12,9,6,15,15,50,24600,120
7000030,Rangaunu Harbour,-35.03017306,173.2934845,207,3,15,6,15,24,18,52,26300,156
7000031,Rangaunu Harbour,-35.05931467,173.303348,237,9,6,9,18,18,24,52,19800,144
7000032,Karikari Peninsula,-34.97131611,173.3530334,198,0,15,12,15,12,21,51,23300,156
7000033,Karikari Peninsula,-34.89329531,173.3322307,138,0,6,3,15,12,12,54,25300,126
7000034,Karikari Peninsula,-34.8745471,173.3711262,126,0,6,6,6,15,21,57,19200,126
7000035,Karikari Peninsula,-34.88755839,173.3694469,237,3,12,15,9,27,33,54,22100,198
7000036,Karikari Peninsula,-35.01907939,173.3688301,183,6,6,6,18,21,12,51,26600,132
7000037,Karikari Peninsula,-34.87017808,173.381936,87,0,9,3,3,12,6,51,22200,48
7000038,Karikari Peninsula,-34.8736435,173.3860948,141,3,6,3,6,3,18,54,20700,90
7000039,Karikari Peninsula,-34.87299119,173.4056438,138,3,3,0,21,9,18,55,21500,99
7000040,Taemaro-Oruaiti,-34.9717865,173.5466345,171,3,6,6,12,21,30,57,21000,126
7000041,Taemaro-Oruaiti,-35.0201862,173.5683711,132,0,3,9,15,9,15,54,19700,99
7000042,Taemaro-Oruaiti,-35.05554563,173.572213,240,3,9,12,15,30,12,52,18900,150
7000043,Taemaro-Oruaiti,-34.97157726,173.5855156,321,6,15,21,24,24,24,50,20200,192
7000044,Oruru-Parapara,-35.02275097,173.4289915,312,9,12,15,21,30,27,51,20400,198
7000045,Taumarumaru,-34.99479114,173.4627479,159,3,9,9,12,9,27,54,23700,126
7000046,Oruru-Parapara,-35.04047993,173.486462,171,0,9,6,18,15,3,49,20700,126
7000047,Taumarumaru,-34.99390729,173.4753072,138,3,6,9,12,12,18,53,21600,105
7000048,Taumarumaru,-34.99251747,173.481874,90,0,9,3,6,15,15,55,30200,87
7000049,Oruru-Parapara,-35.013237,173.4855749,255,3,12,12,15,27,24,53,20900,162
7000050,Taumarumaru,-34.99173964,173.4891345,171,3,9,12,3,24,33,56,23200,138
7000051,Taumarumaru,-34.99427886,173.4979586,174,0,0,9,12,12,36,61,23700,159
7000052,Taumarumaru,-34.99709041,173.4897924,147,0,6,15,9,9,12,51,22600,108
7000053,Oruru-Parapara,-35.07290403,173.5048083,108,0,6,3,12,12,3,50,18600,96
7000054,Taumarumaru,-34.99130052,173.509574,246,3,9,15,18,18,45,56,19900,207
7000055,Taumarumaru,-34.99466637,173.5024863,171,9,9,12,15,12,33,52,23400,147
7000056,Taumarumaru,-34.9950036,173.5070444,108,3,6,6,6,9,18,54,21400,90
7000057,Taumarumaru,-34.99592264,173.5120767,108,0,6,0,9,12,21,58,23200,99
7000058,Taumarumaru,-34.9855991,173.5240903,108,0,0,3,3,9,27,64,24300,111
7000059,Taumarumaru,-34.99088868,173.5279866,204,6,6,9,9,15,36,56,21700,162
7000060,Taumarumaru,-34.99482147,173.5297679,165,0,9,6,12,12,9,51,21900,102
7000061,Taumarumaru,-35.00217236,173.5250374,114,0,6,6,6,12,15,55,23000,96
7000062,Taumarumaru,-34.99199799,173.5345968,90,3,3,0,12,9,9,53,22000,84
7000063,Whakapaku,-35.1183961,173.6241812,141,3,0,6,21,6,6,50,19900,108
7000064,Whakapaku,-34.94514462,173.6528104,0,0,0,0,0,0,0,0,0,0
7000065,Whakapaku,-34.97987527,173.6677936,189,3,6,12,12,18,21,54,19900,120
7000066,Whakapaku,-35.05161854,173.6799371,108,0,3,6,9,6,12,55,24100,90
7000067,Whakapaku,-35.0839616,173.6840737,129,3,9,6,9,15,15,52,24400,75
7000068,Whakapaku,-35.02154201,173.6983985,180,0,9,3,9,15,21,56,23900,156
7000069,Whakarara,-35.04553955,173.7488763,144,0,6,6,6,24,12,55,24700,156
7000070,Whakarara,-35.05307459,173.8007828,192,3,6,9,15,15,30,56,20700,156
7000071,Whakarara,-35.01713664,173.8003695,192,3,6,9,15,21,18,53,20400,156
7000072,Whakarara,-35.03322342,173.8315842,132,3,6,6,3,12,6,49,20100,84
7000073,Whakarara,-35.08461641,173.8321163,141,3,9,6,9,12,6,48,24700,96
7000074,Whakarara,-35.08850394,173.8875571,117,0,3,9,3,9,9,53,27100,81
7000075,Whakarara,-35.04168856,173.8786861,225,3,12,9,24,15,18,51,22300,141
7000076,Whakarara,-35.05398537,173.9162356,201,6,12,15,12,12,12,47,20900,108
7000077,Tangonge,-35.21729438,173.1220842,216,3,12,9,15,15,21,52,19800,132
7000078,Tangonge,-35.13341505,173.1871462,180,3,3,9,18,24,9,52,34700,150
7000079,Tangonge,-35.07799265,173.2144235,159,6,9,6,12,9,9,47,26500,102
7000080,Tangonge,-35.106486,173.2319025,126,6,3,12,9,3,18,51,23700,96
7000081,Tangonge,-35.15405358,173.2268991,165,3,12,9,9,12,18,51,24900,111
7000082,Tangonge,-35.13336707,173.245129,180,6,9,9,12,12,15,49,38400,120
7000083,Tangonge,-35.15164346,173.2472687,108,3,6,3,9,6,9,50,28200,66
7000084,Kaitaia East,-35.10044747,173.2534358,174,3,9,15,12,12,15,50,18300,135
7000085,Kaitaia West,-35.10539971,173.2508378,216,6,15,12,15,9,24,49,22400,162
7000086,Kaitaia West,-35.10798502,173.2526507,159,3,15,6,6,9,12,47,20700,96
7000087,Kaitaia West,-35.1092162,173.2516613,108,3,3,3,9,6,3,48,15400,72
7000088,Kaitaia West,-35.10972187,173.2566038,273,6,21,6,18,12,24,49,18500,162
7000089,Kaitaia West,-35.11027679,173.2519801,219,12,3,9,12,12,9,46,17400,126
7000090,Kaitaia West,-35.11188291,173.2564709,210,9,12,15,9,6,12,44,16400,114
7000091,Kaitaia West,-35.11210689,173.2524558,168,3,12,12,15,9,6,45,15900,108
7000092,Kaitaia West,-35.11236279,173.2541181,147,6,15,12,6,9,3,41,15600,78
7000093,Kaitaia West,-35.11457542,173.2549538,132,12,9,6,12,9,9,44,19400,72
7000094,Kaitaia West,-35.12309981,173.2543878,171,3,12,9,6,15,12,49,20200,105
7000095,Kaitaia East,-35.09534113,173.2666961,204,6,15,9,12,15,9,46,18000,114
7000096,Kaitaia East,-35.10149768,173.2635284,207,12,12,9,12,9,6,42,17100,102
7000097,Kaitaia East,-35.10276936,173.2609119,171,6,6,12,15,9,9,47,18500,114
7000098,Kaitaia East,-35.10607785,173.2649924,162,9,15,12,9,6,3,39,16300,84
7000099,Kaitaia East,-35.10406261,173.2595812,111,3,6,6,3,3,15,52,20900,72
7000100,Kaitaia East,-35.10584028,173.2631477,204,12,18,12,12,12,18,46,18700,117
7000101,Kaitaia East,-35.10676371,173.2594498,159,9,15,6,9,9,15,46,19700,120
7000102,Kaitaia East,-35.10840347,173.2625451,111,0,12,0,3,6,12,52,21200,81
7000103,Kaitaia East,-35.10980255,173.2645164,120,9,6,9,6,6,15,48,19500,72
7000104,Kaitaia East,-35.11248028,173.2634333,267,6,18,9,15,15,36,52,20200,189
7000105,Kaitaia West,-35.11248164,173.2594797,171,9,9,9,12,9,21,50,19300,138
7000106,Kaitaia West,-35.11438651,173.2588341,222,3,12,6,18,12,18,51,22900,156
7000107,Kaitaia West,-35.11702044,173.2588344,213,6,12,12,18,9,6,45,15900,126
7000108,Kaitaia West,-35.1189522,173.266837,96,3,3,6,9,9,24,57,21800,108
7000109,Kaitaia West,-35.11886324,173.2638519,177,3,9,9,12,12,18,52,23100,126
