Studio_Name,Actual_Members,Days_Since_Launch,Catchment,Property_Score,Baseline,Property_Adj,Predicted_Members,Actual_vs_Predicted,Stage1_PassFail,Pre_Reg,Founding_Members,Location_Type,State,Property_Score_Overall,Parking_Score,Safety_Score,Visibility_Score,CoTenants_Score,Catchment,K_Factor_Actual,SA1_Count,Age_20_24_pct,Age_25_34_pct,Age_35_44_pct,Age_45_54_pct,Age_55_64_pct,Age_65_plus_pct,Income_1000_1500_pct,Income_1500_2000_pct,Income_2000_2500_pct,Income_2500_3000_pct,Income_3000_plus_pct,Same_Address_5yr_pct,Owner_Occupied_pct,Families_Kids_Under15_pct,Work_From_Home_pct,One_Person_HH_pct,Bachelor_Plus_pct,Unemployment_pct,Population_Density,Median_Age,Primary_Schools_per1K,Secondary_Schools_per1K,Childcare_per1K,Hospitals_per1K
Pronto Pilates - Applecross,392,787,16522,90,340,89,429,-37,,,,Mid-Suburban,WA,69,2.5,5,3,3,44233,0.886,232,7.84,14.65,17.01,17.1,15.71,27.68,2.87,2.23,2.67,2.16,11.78,26.15,49.64,11.15,1.22,5.41,15.5,1.18,2320,41,0.02,0.07,0.41,0.11
Pronto Pilates - Buderim,162,60,56828,85,299,74,373,-211,,,,Lifestyle,QLD,93,4,5,5,5,18839,0.86,90,7.78,13.3,15.64,17.86,15.09,30.33,4.02,3.24,3.54,2.61,6.93,25.93,62.58,13.7,3.15,5.23,11.77,1.46,2594,43,0.21,0.11,0.05,0.64
Pronto Pilates - Bull Creek,403,165,28101,82,322,63,384,19,,,,Mid-Suburban,WA,90,5,5,4,3,46321,0.87,283,8.02,13.53,18.08,17.73,16.92,25.72,3.38,2.74,3.22,2.54,9.58,27.22,49.08,11.67,1.16,3.82,13.1,1.38,2097,41,0.02,0.06,0.32,0.02
Pronto Pilates - Bunbury,210,102,26085,64,324,-50,274,-64,,,,Regional,WA,66,5,1,4,3,10557,1.989,59,6.36,15.35,14.42,16.07,17.61,30.19,3.98,3.11,2.83,2.29,5.26,24.23,47.11,8.44,1.46,7.18,5.71,1.2,2163,43,0.85,0.19,1.71,1.52
Pronto Pilates - Caloundra,273,88,44233,69,307,-46,261,12,,,,Lifestyle,QLD,89,4,5,4,5,21790,1.253,115,5.12,11.46,14.88,16.55,18.02,33.97,4.55,3.38,3.47,2.47,5.56,24.49,52.01,9.93,2.45,5.37,7.39,1.18,2273,47,0.28,0.14,0.78,0.32
Pronto Pilates - Claremont,404,822,44062,53,307,-54,253,151,,,,Mid-Suburban,WA,82,5,5,2,3,28101,1.438,167,9.36,14.06,15.55,17.24,15.59,28.19,1.98,1.63,1.96,1.59,13.54,22.9,49.23,10.02,1.17,5.15,19.84,1.23,2119,42,0.36,0.07,0.64,0.14
Pronto Pilates - Coolum Beach,390,39,68518,38,293,-54,238,152,,,,Lifestyle,QLD,93,4,5,5,5,10196,3.825,55,4.77,13.86,19.8,19.33,17.65,24.59,4.28,3.57,3.63,2.88,6.74,18.88,52.55,12.25,2.79,4.12,9.68,1.08,2358,41,0.2,0.29,1.08,0.39
Pronto Pilates - Cottesloe,474,1060,61690,78,296,-31,265,209,,,,Lifestyle,WA,90,5,5,4,3,16522,2.869,95,7.89,13.31,14.67,18.48,16.3,29.35,1.96,1.66,1.94,1.68,14.58,23.73,46.45,10.07,1.18,5.17,19.25,1.03,2181,44,0.36,0.06,1.09,0.12
Pronto Pilates - East Fremantle,485,445,97119,45,282,-54,228,257,,,,Mid-Suburban,WA,96,5,5,4,5,32158,1.508,159,7,16.28,16.92,17.92,16.13,25.75,2.52,2.22,2.57,2.17,11.35,26.89,52.32,10.97,1.5,6.76,15.81,1.26,2450,41,0.06,0.03,0.34,0.19
Pronto Pilates - Floreat,417,74,67349,59,293,-52,241,176,,,,Mid-Suburban,WA,93,4,5,5,5,36911,1.13,211,7.26,16.92,17.88,18.02,14.98,24.94,2.31,1.92,2.36,1.82,13.26,25,50.24,11.57,1.21,5.56,19.12,1.08,2171,40,0.19,0.08,0.49,0.16
Pronto Pilates - Glenelg,298,389,23546,23,328,-54,273,25,,,,Lifestyle,SA,82,3,5,4,5,28707,1.038,158,7.66,16.62,15.24,14.44,15.5,30.54,3.89,2.97,3.44,2.61,7.91,23.89,46.23,8.92,1.25,6.7,11.17,1.11,2127,42,0.03,0.1,0.59,0.14
Pronto Pilates - Hampton,270,186,32309,96,317,100,417,-147,,,,Lifestyle,VIC,89,4,5,4,5,26464,1.02,145,5.63,10.39,16.31,20.63,17.76,29.28,2.36,1.81,2.36,1.98,14.19,25.97,46.79,11.18,1.38,4.89,15.52,0.98,2246,44,0.23,0.11,0.57,0.11
Pronto Pilates - Helensvale,316,32,52906,90,301,89,390,-74,,,,Outer-Suburban,QLD,83,4,5,4,3,15582,2.028,102,7.77,16.69,19.89,19.79,15.27,20.59,4.38,3.61,4.24,3.15,5.78,21.12,45.26,11.3,2.32,2.71,6.51,1.3,1982,39,0.06,0.19,1.16,0.19
Pronto Pilates - Henley Beach,284,213,18605,29,336,-54,282,2,,,,Lifestyle,SA,89,4,5,4,5,30575,0.929,158,6.87,15.27,15.61,16.22,16.03,29.99,3.97,3.26,3.32,2.73,8.03,27.88,49.95,10.36,1.32,6.1,10.19,1.13,2319,43,0.03,0.2,0.59,0.1
Pronto Pilates - Indooroopilly,217,95,28707,82,321,63,384,-167,,,,Mid-Suburban,QLD,72,3.5,5,2,3,37542,0.578,216,14.16,19.6,18.53,16.35,12.19,19.16,2.55,2.34,2.78,2.21,11.54,19.43,47.72,10.35,2.61,4.58,19.5,1.45,2193,36,0.19,0.11,0.37,0.05
Pronto Pilates - Lane Cove,236,325,34706,58,315,-53,262,-26,,,,Mid-Suburban,NSW,82,3,5,4,5,31519,0.749,182,5.37,17.4,20.35,18.7,14.72,23.47,2.02,1.86,2.54,2.08,15.43,23.22,45.36,10.86,2.15,4.84,17.05,0.85,2130,41,0.06,0.06,0.54,0.03
Pronto Pilates - Manly,274,480,54191,82,300,63,363,-89,,,,Lifestyle,NSW,23,1,1,1,2,23546,1.164,131,5.93,21.17,20.36,18.88,14.32,19.34,1.68,1.73,2.51,2.14,15.87,23,48.65,11.38,2.23,4.98,18.86,0.91,2255,39,0.13,0.04,0.64,0.13
Pronto Pilates - Miranda,182,46,31519,82,318,63,380,-198,,,,Outer-Suburban,NSW,54,2,3,4,2,51694,0.352,292,6.95,16.45,17.37,17.23,14.88,27.12,2.96,2.51,3.35,2.7,11.06,25.15,47.89,11.02,2.74,4.94,10.27,0.82,2188,41,0.12,0.06,0.37,0.17
Pronto Pilates - Mt Gravatt,338,731,18524,89,336,87,423,-85,,,,Mid-Suburban,QLD,53,2,3,3,3,44062,0.767,262,9.96,19.55,20.19,17.7,13.21,19.4,2.87,2.6,3.24,2.42,10.16,23.51,48.11,11.3,2.2,3.99,14.21,1.32,2149,36,0.07,0.14,0.27,0.14
Pronto Pilates - Mt Lawley,503,907,30575,89,319,87,405,98,,,,Inner-Suburban,WA,85,4,5,3,5,56828,0.885,296,8.98,25.2,18.87,14.7,12.49,19.75,2.67,2.4,2.88,2.23,9.57,21.61,51.06,8.89,1.46,7.94,15.91,1.43,2310,37,0.11,0.07,0.26,0.04
Pronto Pilates - Neutral Bay,245,556,54514,44,300,-54,246,-1,,,,Urban,NSW,45,2,3,1,3,97119,0.252,539,6.94,25.03,21.02,15.41,12.26,19.34,1.88,1.9,2.52,1.91,13.9,18.45,48.39,8.7,2.36,7.29,21.91,1.29,2108,39,0.06,0.04,0.2,0.09
